trip_id,origin_id,destination_id,mode,distance_km,hour_of_day,day_of_week,is_weekend,is_peak_hour,weather,traffic_level,scheduled_headway_min,passenger_density,upstream_delay_min,actual_travel_time_min,delay_minutes,actual_waiting_time_min,fare_inr,dataset_label
TRIP_000084,METRO_VYTTILA,METRO_THRIPUNITHURA,metro,4.9,13,1,0,0,Clear,1,7.0,0.38,0.2,8.4,0.4,2.4,20.8,Demo / Synthetic Data
TRIP_000085,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.43,18,4,0,1,Monsoon Heavy Rain,3,0.0,0.82,0.0,4.8,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000086,METRO_KALOOR,METRO_MG_ROAD,metro,2.26,9,4,0,1,Clear,2,7.0,0.78,0.7,4.9,1.7,5.8,15.0,Demo / Synthetic Data
TRIP_000087,METRO_MG_ROAD,WATER_HIGH_COURT,feeder_bus,1.14,23,4,0,0,Clear,1,12.0,0.35,0.9,4.4,2.0,6.2,12.1,Demo / Synthetic Data
TRIP_000088,METRO_VYTTILA,METRO_THRIPUNITHURA,metro,5.18,6,2,0,0,Moderate Rain,1,7.0,0.56,0.1,9.3,0.5,2.9,21.4,Demo / Synthetic Data
TRIP_000089,METRO_EDAPPALLY,METRO_KALOOR,metro,4.04,16,1,0,0,Moderate Rain,2,7.0,0.45,0.0,7.4,0.2,5.1,18.9,Demo / Synthetic Data
TRIP_000090,METRO_MG_ROAD,METRO_VYTTILA,metro,4.75,16,6,1,0,Monsoon Heavy Rain,1,7.0,0.43,0.3,8.8,0.5,3.6,20.5,Demo / Synthetic Data
TRIP_000091,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,2.06,9,1,0,1,Clear,2,12.0,0.74,5.7,11.0,11.2,9.9,13.7,Demo / Synthetic Data
TRIP_000092,ORIGIN_6,DEST_14,metro,11.73,5,1,0,0,Clear,2,7.0,0.39,0.0,20.9,0.0,3.6,35.8,Demo / Synthetic Data
TRIP_000093,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.7,18,6,1,1,Monsoon Heavy Rain,4,12.0,0.88,6.7,10.5,13.0,11.9,13.1,Demo / Synthetic Data
TRIP_000094,WATER_HIGH_COURT,WATER_BOLGATTY,water_metro,1.38,13,1,0,0,Moderate Rain,1,15.0,0.58,0.3,4.7,1.9,8.8,20.0,Demo / Synthetic Data
TRIP_000095,METRO_MG_ROAD,METRO_VYTTILA,metro,4.67,17,6,1,1,Moderate Rain,3,7.0,0.84,0.0,7.8,0.1,2.6,20.3,Demo / Synthetic Data
TRIP_000096,METRO_MG_ROAD,WATER_HIGH_COURT,auto,0.83,12,1,0,0,Monsoon Heavy Rain,1,2.0,0.4,0.7,3.6,2.0,2.5,30.0,Demo / Synthetic Data
TRIP_000097,BUS_THOPPUMPADY,METRO_ERNAKULAM_SOUTH,feeder_bus,5.25,16,2,0,0,Monsoon Heavy Rain,1,12.0,0.41,1.9,19.3,4.3,7.3,19.5,Demo / Synthetic Data
TRIP_000098,WATER_HIGH_COURT,WATER_BOLGATTY,water_metro,1.47,12,0,0,0,Moderate Rain,1,15.0,0.51,1.3,5.1,1.7,7.6,20.0,Demo / Synthetic Data
TRIP_000099,BUS_VYTTILA_HUB_BAY1,BUS_KAKKANAD_CIVIL,feeder_bus,6.53,15,2,0,0,Clear,1,12.0,0.37,0.6,21.0,1.2,6.1,21.8,Demo / Synthetic Data
TRIP_000100,ORIGIN_9,DEST_12,metro,11.62,21,3,0,0,Clear,1,7.0,0.33,0.0,20.7,0.0,3.9,35.6,Demo / Synthetic Data
TRIP_000101,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.42,15,0,0,0,Clear,1,0.0,0.36,0.2,5.1,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000102,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.29,10,4,0,1,Clear,2,15.0,0.77,1.1,28.6,1.2,8.2,30.0,Demo / Synthetic Data
TRIP_000103,ORIGIN_4,DEST_20,metro,3.55,18,2,0,1,Clear,4,7.0,0.78,0.5,5.9,0.0,2.2,17.8,Demo / Synthetic Data
TRIP_000104,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.75,18,4,0,1,Clear,3,12.0,0.68,4.4,9.8,9.6,9.5,13.2,Demo / Synthetic Data
TRIP_000105,ORIGIN_19,DEST_7,water_metro,1.83,13,0,0,0,Clear,1,15.0,0.37,1.8,6.5,3.0,8.7,20.0,Demo / Synthetic Data
TRIP_000106,METRO_ALUVA,METRO_EDAPPALLY,metro,8.2,21,6,1,0,Moderate Rain,1,7.0,0.53,0.0,14.6,0.0,2.1,28.0,Demo / Synthetic Data
TRIP_000107,WATER_HIGH_COURT,WATER_FORT_KOCHI,water_metro,4.26,16,3,0,0,Moderate Rain,3,15.0,0.4,0.6,13.5,2.2,7.5,20.0,Demo / Synthetic Data
TRIP_000108,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.86,15,5,1,0,Clear,2,12.0,0.32,2.5,8.2,5.7,8.5,13.3,Demo / Synthetic Data
TRIP_000109,WATER_SOUTH_CHITTOOR,WATER_CHERANALLOOR,water_metro,2.65,21,2,0,0,Monsoon Heavy Rain,1,15.0,0.43,2.1,9.5,4.5,8.9,20.0,Demo / Synthetic Data
TRIP_000110,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.82,17,5,1,1,Clear,3,12.0,0.74,4.2,8.6,8.0,7.3,13.3,Demo / Synthetic Data
TRIP_000111,METRO_VYTTILA,METRO_THRIPUNITHURA,metro,4.92,11,3,0,0,Clear,2,7.0,0.21,0.6,8.7,0.9,4.3,20.8,Demo / Synthetic Data
TRIP_000112,BUS_VYTTILA_HUB_BAY1,BUS_KAKKANAD_CIVIL,feeder_bus,6.65,10,4,0,1,Clear,3,12.0,0.62,4.9,25.3,9.6,8.3,22.0,Demo / Synthetic Data
TRIP_000113,BUS_VYTTILA_HUB_BAY1,BUS_KAKKANAD_CIVIL,feeder_bus,6.77,22,6,1,0,Clear,2,12.0,0.36,1.6,23.2,3.9,6.7,22.2,Demo / Synthetic Data
TRIP_000114,WATER_SOUTH_CHITTOOR,WATER_CHERANALLOOR,water_metro,2.69,11,3,0,0,Clear,1,15.0,0.24,0.4,8.1,0.1,8.0,20.0,Demo / Synthetic Data
TRIP_000115,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.81,19,3,0,1,Moderate Rain,4,12.0,0.85,6.7,11.8,14.3,10.7,13.3,Demo / Synthetic Data
TRIP_000116,WATER_HIGH_COURT,WATER_FORT_KOCHI,water_metro,4.29,21,3,0,0,Monsoon Heavy Rain,3,15.0,0.44,2.3,14.7,4.0,8.9,20.0,Demo / Synthetic Data
TRIP_000117,WATER_HIGH_COURT,WATER_VYPIN,water_metro,3.81,7,2,0,0,Clear,2,15.0,0.37,0.0,11.6,0.4,8.2,20.0,Demo / Synthetic Data
TRIP_000118,METRO_EDAPPALLY,BUS_AMRITA_HOSPITAL,feeder_bus,1.89,7,6,1,0,Moderate Rain,1,12.0,0.42,0.9,6.7,2.4,6.5,13.4,Demo / Synthetic Data
TRIP_000119,ORIGIN_10,DEST_8,feeder_bus,3.2,11,1,0,0,Clear,1,12.0,0.33,0.9,11.1,1.2,5.8,15.8,Demo / Synthetic Data
TRIP_000120,WATER_HIGH_COURT,WATER_BOLGATTY,water_metro,1.43,20,4,0,1,Clear,2,15.0,0.76,2.8,6.9,5.6,9.8,20.0,Demo / Synthetic Data
TRIP_000121,METRO_KALOOR,METRO_MG_ROAD,metro,2.15,19,3,0,1,Clear,3,7.0,0.75,0.6,5.3,2.3,2.8,14.7,Demo / Synthetic Data
TRIP_000122,ORIGIN_13,DEST_16,metro,7.12,17,1,0,1,Clear,3,7.0,0.61,0.0,12.2,0.2,2.9,25.7,Demo / Synthetic Data
TRIP_000123,METRO_ALUVA,METRO_EDAPPALLY,metro,8.08,8,6,1,1,Moderate Rain,3,7.0,0.99,2.4,16.0,3.4,4.3,27.8,Demo / Synthetic Data
TRIP_000124,WATER_HIGH_COURT,WATER_VYPIN,water_metro,3.73,21,3,0,0,Clear,3,15.0,0.32,0.0,11.4,0.3,8.0,20.0,Demo / Synthetic Data
TRIP_000125,WATER_HIGH_COURT,WATER_BOLGATTY,water_metro,1.41,8,3,0,1,Clear,3,15.0,0.61,0.4,4.4,1.0,8.8,20.0,Demo / Synthetic Data
TRIP_000126,BUS_THOPPUMPADY,METRO_ERNAKULAM_SOUTH,feeder_bus,5.08,21,4,0,0,Moderate Rain,2,12.0,0.44,2.8,17.5,4.3,7.8,19.1,Demo / Synthetic Data
TRIP_000127,BUS_THOPPUMPADY,METRO_ERNAKULAM_SOUTH,feeder_bus,5.29,21,3,0,0,Clear,1,12.0,0.38,1.7,17.7,3.1,6.6,19.5,Demo / Synthetic Data
TRIP_000128,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.46,19,1,0,1,Clear,2,0.0,0.65,0.0,5.4,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000129,METRO_MG_ROAD,WATER_HIGH_COURT,auto,1.1,19,2,0,1,Clear,3,2.0,0.77,2.1,5.1,6.3,3.1,30.0,Demo / Synthetic Data
TRIP_000130,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.31,21,3,0,0,Clear,2,15.0,0.25,0.3,28.4,0.4,9.1,30.0,Demo / Synthetic Data
TRIP_000131,WATER_VYTTILA,WATER_KAKKANAD,water_metro,9.43,19,0,0,1,Moderate Rain,4,15.0,0.94,3.8,31.4,7.0,10.0,30.0,Demo / Synthetic Data
TRIP_000132,WATER_HIGH_COURT,WATER_BOLGATTY,water_metro,1.55,13,2,0,0,Moderate Rain,1,15.0,0.47,1.6,6.0,3.6,8.7,20.0,Demo / Synthetic Data
TRIP_000133,WATER_FORT_KOCHI,BUS_FORT_KOCHI_STAND,walking,0.4,7,1,0,0,Moderate Rain,2,0.0,0.46,0.0,5.2,0.0,0.0,0.0,Demo / Synthetic Data
TRIP_000134,BUS_VYTTILA_HUB_BAY1,BUS_KAKKANAD_CIVIL,feeder_bus,6.82,9,5,1,1,Clear,3,12.0,0.62,5.1,25.6,10.0,10.2,22.3,Demo / Synthetic Data
TRIP_000135,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.82,18,2,0,1,Monsoon Heavy Rain,3,12.0,0.81,6.9,11.8,13.5,10.2,13.3,Demo / Synthetic Data
TRIP_000136,BUS_FORT_KOCHI_STAND,BUS_MATTANCHERRY_BAZAAR,feeder_bus,1.91,6,1,0,0,Clear,1,12.0,0.37,0.4,5.9,0.6,5.8,13.4,Demo / Synthetic Data
TRIP_000137,BUS_VYTTILA_HUB_BAY1,BUS_KAKKANAD_CIVIL,feeder_bus,6.74,23,5,1,0,Moderate Rain,1,12.0,0.55,0.0,21.8,1.0,6.2,22.1,Demo / Synthetic Data
TRIP_000138,BUS_VYTTILA_HUB_BAY1,BUS_KAKKANAD_CIVIL,feeder_bus,6.74,20,0,0,1,Clear,4,12.0,0.76,5.6,26.5,11.2,8.4,22.1,Demo / Synthetic Data
TRIP_000139,ORIGIN_13,DEST_14,feeder_bus,3.93,22,5,1,0,Clear,1,12.0,0.39,0.8,12.6,1.7,7.2,17.1,Demo / Synthetic Data
